College_Name
Indian Institute of Technology Bombay
Indian Institute of Technology Delhi
Indian Institute of Technology Madras
Indian Institute of Technology Kanpur
Indian Institute of Technology Kharagpur
Indian Institute of Technology Roorkee
Indian Institute of Technology Guwahati
Indian Institute of Technology Hyderabad
Indian Institute of Technology Indore
Indian Institute of Technology BHU
Indian Institute of Technology Ropar
Indian Institute of Technology Mandi
Indian Institute of Technology Gandhinagar
Indian Institute of Technology Jodhpur
Indian Institute of Technology Patna
Indian Institute of Technology Bhubaneswar
Indian Institute of Technology Tirupati
Indian Institute of Technology Palakkad
Indian Institute of Technology Goa
Indian Institute of Technology Dharwad
Indian Institute of Technology Jammu
Indian Institute of Technology Bhilai
Indian Institute of Technology Varanasi
National Institute of Technology Tiruchirappalli
National Institute of Technology Warangal
National Institute of Technology Surathkal
National Institute of Technology Rourkela
National Institute of Technology Calicut
National Institute of Technology Kurukshetra
National Institute of Technology Durgapur
National Institute of Technology Silchar
National Institute of Technology Jaipur
National Institute of Technology Allahabad
National Institute of Technology Hamirpur
National Institute of Technology Jamshedpur
National Institute of Technology Agartala
National Institute of Technology Patna
National Institute of Technology Raipur
National Institute of Technology Srinagar
National Institute of Technology Bhopal
National Institute of Technology Nagpur
National Institute of Technology Surat
National Institute of Technology Shillong
National Institute of Technology Aizawl
National Institute of Technology Imphal
National Institute of Technology Goa
National Institute of Technology Uttarakhand
Indian Institute of Information Technology Hyderabad
Indian Institute of Information Technology Allahabad
Indian Institute of Information Technology Gwalior
Indian Institute of Information Technology Kancheepuram
Indian Institute of Information Technology Guwahati
Indian Institute of Information Technology Kota
Indian Institute of Information Technology Tiruchirappalli
Indian Institute of Information Technology Lucknow
Indian Institute of Information Technology Design and Manufacturing Jabalpur
Indian Institute of Information Technology Design and Manufacturing Kurnool
Indian Institute of Information Technology Vadodara
Indian Institute of Information Technology Surat
Indian Institute of Information Technology Bhopal
Indian Institute of Information Technology Pune
Jadavpur University
"College of Engineering, Pune"
Delhi Technological University
Netaji Subhas University of Technology
Indira Gandhi Delhi Technical University for Women
Anna University
"Institute of Chemical Technology, Mumbai"
"Visvesvaraya National Institute of Technology, Nagpur"
"Government College of Engineering, Amravati"
"Government College of Engineering, Aurangabad"
"Government Engineering College, Thrissur"
"University College of Engineering, Osmania University"
"University Visvesvaraya College of Engineering, Bangalore"
"Government Engineering College, Kozhikode"
"Government College of Engineering, Salem"
"Government College of Engineering, Tirunelveli"
"Government Engineering College, Bilaspur"
"Government College of Engineering, Karad"
"Government Engineering College, Jabalpur"
"Maulana Azad National Institute of Technology, Bhopal"
"Sardar Vallabhbhai National Institute of Technology, Surat"
"Birla Institute of Technology and Science, Pilani"
Vellore Institute of Technology
SRM Institute of Science and Technology
Amrita Vishwa Vidyapeetham
Thapar Institute of Engineering and Technology
Manipal Institute of Technology
"Amity University, Noida"
Chandigarh University
Lovely Professional University
Kalinga Institute of Industrial Technology
Dhirubhai Ambani Institute of Information and Communication Technology
PSG College of Technology
Sathyabama Institute of Science and Technology
"Shanmugha Arts, Science, Technology & Research Academy"
R.V. College of Engineering
BMS College of Engineering
PES University
"Vignan's Foundation for Science, Technology and Research"
Symbiosis Institute of Technology
Dr. D.Y. Patil Institute of Technology
Bharati Vidyapeeth Deemed University College of Engineering
Veermata Jijabai Technological Institute
Shri Ramdeobaba College of Engineering and Management
G.H. Raisoni College of Engineering
Ramrao Adik Institute of Technology
K.J. Somaiya College of Engineering
Sardar Patel College of Engineering
Walchand College of Engineering
MIT World Peace University
Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology
Dayananda Sagar College of Engineering
Nitte Meenakshi Institute of Technology
Reva University
Jain University
Christ University
Alliance University
CMR Institute of Technology
New Horizon College of Engineering
Ramaiah Institute of Technology
Bannari Amman Institute of Technology
Kongu Engineering College
Sri Sivasubramaniya Nadar College of Engineering
Karunya Institute of Technology and Sciences
Hindustan Institute of Technology and Science
Galgotias University
VIT-AP University
Siksha 'O' Anusandhan University
Nirma University
Pandit Deendayal Energy University
Kalasalingam Academy of Research and Education
RMK Engineering College
Sri Krishna College of Engineering and Technology
Mepco Schlenk Engineering College
Kumaraguru College of Technology
Coimbatore Institute of Technology
St. Joseph’s College of Engineering
Rajalakshmi Engineering College
Saveetha Engineering College
Sona College of Technology
RAMACHANDRA COLLEGE OF ENGINEERING
Uttara University
Kakatiya Institute of Technology and Science
Gokaraju Rangaraju Institute of Engineering and Technology
MLR Institute of Technology
Vardhaman College of Engineering
STAMFORD UNIVERSITY
Anurag University
BVRIT Hyderabad College of Engineering for Women
CVR College of Engineering
Muffakham Jah College of Engineering and Technology
G.PULLAREDDY ENGINEERING COLLEGE
Chaitanya Bharathi Institute of Technology
Vasavi College of Engineering
"JNTUH College of Engineering, Hyderabad"
